Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL5081653,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCCCC2)ccc1OCCN1CCNCC1,8.82
CHEMBL2392809,Cc1nc2cc(NC(=S)NCCCn3cncc3C)ccc2o1,6.28
CHEMBL2392808,Cc1cncn1CCCNC(=S)Nc1ccc2ocnc2c1,6.32
CHEMBL4127824,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCc1ccnc(N)c1,7.8
CHEMBL5079535,COc1cc(N(Cc2cccnc2)C(=O)NCc2ccc3[nH]cnc3c2)ccc1OCCCCc1ccnc(N)c1,8.02
CHEMBL4077135,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC1CCN(C)CC1,7.7
CHEMBL4073599,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC1CCNCC1,8.14
CHEMBL382344,COc1ccc(/N=C(\S)CCCCn2ccnc2)cc1OC,6.0
CHEMBL4128856,Cc1cncn1CCCNC(=S)Nc1ccc(OCC(=O)NCc2ccnc(N)c2)cc1,7.25
CHEMBL4524440,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CC2)cc1OC,7.42
CHEMBL5201318,Cc1ccc(Cn2cnc3ccc(-c4nnc(N)s4)cc32)cc1C,5.34
CHEMBL5196273,Nc1nnc(-c2ccc3ncn(Cc4ccc(F)cc4)c3c2)s1,5.38
CHEMBL5194882,N#Cc1cccc(Cn2cnc3ccc(-c4nnc(N)s4)cc32)c1,5.42
CHEMBL5196169,COc1cccc(Cn2cnc3ccc(-c4nnc(N)s4)cc32)c1,5.44
CHEMBL5172975,Nc1nnc(-c2ccc3ncn(Cc4ccc(C(F)(F)F)cc4)c3c2)s1,5.47
CHEMBL5169588,COc1ccc(Cn2cnc3ccc(-c4nnc(N)s4)cc32)cc1,5.6
CHEMBL5196820,Nc1nnc(-c2ccc3ncn(Cc4ccc(Cl)c(F)c4)c3c2)s1,5.8
CHEMBL5194144,Nc1nnc(-c2ccc3ncn(Cc4ccc(F)c(F)c4)c3c2)s1,5.82
CHEMBL5198938,COc1ccc(Cn2cnc3ccc(-c4nnc(N)s4)cc32)cc1OC,6.77
CHEMBL4210669,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN1CCN(c2ncc(Cl)cn2)CC1,7.17
CHEMBL4203427,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN1CCN(c2ncc(F)cn2)CC1,7.39
CHEMBL4215098,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN1CCN(c2ncccn2)CC1,7.92
CHEMBL2392816,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)OCCN2,5.97
CHEMBL3703775,Cc1cn(CCCn2c(=S)[nH]c3sc(Cc4ccccc4)cc3c2=O)cn1,5.745
CHEMBL3640026,Cc1cncn1CCCn1c(=S)[nH]c2sc(Cc3ccccc3)cc2c1=O,7.369999999999999
CHEMBL3703763,Cc1cn(CCCn2c(=S)[nH]c3ccccc3c2=O)cn1,6.125
CHEMBL1490888,O=c1c2ccccc2[nH]c(=S)n1CCCn1ccnc1,6.52
CHEMBL3703751,Cc1cncn1CCCn1c(=S)[nH]c2ccccc2c1=O,7.49
CHEMBL2392778,Cc1cncn1CCCNC(=S)Nc1ccc2ncccc2c1,6.53
CHEMBL4090608,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC1CCNCC1,7.86
CHEMBL4207248,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC1CCN(CCN)CC1,7.97
CHEMBL4215626,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC1CCN(CCO)CC1,8.05
CHEMBL4093071,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC1CCN(C)CC1,8.34
CHEMBL4560536,COc1ccc(N(CCc2ccnc(N)c2)C(=O)NCCCn2cncc2C)cc1OC,7.43
CHEMBL4216695,COc1cc(NC(=S)NCCCn2cncc2C)ccc1Oc1ccc(N2CCN(C)CC2)cc1,7.77
CHEMBL4204845,COc1cc(NC(=S)NCCCn2cncc2C)ccc1Oc1ccc(N2CCN(CCO)CC2)cc1,7.79
CHEMBL4212913,COc1cc(NC(=S)NCCCn2cncc2C)ccc1Oc1ccc(N2CCN(CCN)CC2)cc1,7.92
CHEMBL4215483,COc1cc(NC(=S)NCCCn2cncc2C)ccc1Oc1ccc(N2CCNCC2)cc1,8.07
CHEMBL4519348,COc1ccc(C2(C(=O)NCCCn3cncc3C)CCC2)cc1OC,7.43
CHEMBL4462495,Cn1cnnc1C1CCN(c2ncccc2-c2ccc(F)nc2)CC1,7.74
CHEMBL2390975,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)OCCC2,6.32
CHEMBL3677296,O=C1NC(=S)C(c2ccc(F)c(F)c2F)N1c1ccc2nc[nH]c2c1,6.6899999999999995
CHEMBL3677297,O=C1NC(=S)C(c2ccc(Br)cc2F)N1c1ccc2nc[nH]c2c1,7.904999999999999
CHEMBL201011,C[C@@H](/C(S)=N/CCCn1ccnc1)c1ccccc1,5.13
CHEMBL203411,C[C@H](/C(S)=N/CCCn1ccnc1)c1ccccc1,5.46
CHEMBL382268,COc1ccc(C/C(S)=N/CCCn2ccnc2)cc1OC,6.41
CHEMBL436954,S=C(NCCCn1ccnc1)C1(c2ccc(Cl)cc2)CCCC1,5.13
CHEMBL3659478,CCCOc1ccc(C2CNC(=O)N2c2ccn3ccnc3c2)cc1,6.76
CHEMBL5086703,COc1cc(C2(C(=O)NCCCn3cncc3C)CCC2)ccc1OCCCCc1ccnc(N)c1,7.96
CHEMBL5186424,Nc1nnc(-c2ccc3ncn(Cc4ccc5c(c4)OCO5)c3c2)s1,5.75
CHEMBL201574,S=C(NCCCn1ccnc1)Nc1ccc(OCc2ccccc2)cc1,6.01
CHEMBL4127982,Cc1cncn1CCCNC(=S)Nc1ccc(OCCCCc2ccnc(N)c2)cc1,7.61
CHEMBL4070421,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccnc(NC(C)=O)c1,7.72
CHEMBL4093854,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1cc(N)nc(N)c1,7.82
CHEMBL4208430,CNc1cc(CCCCOc2ccc(NC(=S)NCCCn3cncc3C)cc2OC)ccn1,7.87
CHEMBL5085678,CCN(C(=S)NCCCn1cncc1C)c1ccc(OCCCCc2ccnc(N)c2)c(OC)c1,7.96
CHEMBL4093243,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccncc1,8.04
CHEMBL5079317,COc1cc(N(C)C(=S)NCCCn2cncc2C)ccc1OCCCCc1ccnc(N)c1,8.05
CHEMBL4203546,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccnc(NCCO)c1,8.06
CHEMBL4097599,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccnc(N)c1,8.35
CHEMBL4204093,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccnc(NCCN)c1,8.74
CHEMBL5085353,COc1cc(NC(=S)N(CCCn2cncc2C)C(C)C)ccc1OCCCCc1ccnc(N)c1,9.52
CHEMBL4212704,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCC(=O)N1CCN(CCO)CC1,7.31
CHEMBL4213636,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCC(=O)N1CCNCC1,7.82
CHEMBL4130284,Cc1cncn1CCCNC(=S)Nc1ccc(OCC(=O)N2CCNCC2)cc1,7.94
CHEMBL4216476,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCC(=O)N1CCN(CCN)CC1,8.11
CHEMBL2418771,FC(F)(F)c1ccc(C(F)(F)F)c(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c1,4.57
CHEMBL2418770,FC(F)(F)c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.54
CHEMBL2418769,Fc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c(F)c1,5.75
CHEMBL2418797,c1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,5.800000000000001
CHEMBL2418802,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c(OC)c1,5.82
CHEMBL2418801,COc1ccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1OC,6.0
CHEMBL2418803,COc1cccc(CCc2nnc(-c3ccc4[nH]cnc4c3)o2)c1OC,6.07
CHEMBL5083519,COc1cc(N(C(=S)NCCCn2cncc2C)C2CCC2)ccc1OCCCCc1ccnc(N)c1,9.1
CHEMBL2392797,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)C(=O)CCC2,6.1
CHEMBL5275966,Cc1cncn1CCCNC(=O)N(Cc1ccc(F)cc1)c1ccc2cn[nH]c2c1,7.18
CHEMBL5282930,CCCn1ncc2ccc(N(Cc3ccc(F)cc3)C(=O)NCCCn3cncc3C)cc21,7.21
CHEMBL5283072,Cc1cncn1CCCNC(=O)N(Cc1ccc(F)cc1)c1ccc2cnn(C)c2c1,7.54
CHEMBL5269831,Cc1n[nH]c2cc(N(Cc3ccc(F)cc3)C(=O)NCCCn3cncc3C)ccc12,7.96
CHEMBL5266674,Cc1nn(C)c2cc(N(Cc3ccc(F)cc3)C(=O)NCCCn3cncc3C)ccc12,8.64
CHEMBL4470900,COc1ccc(C(Cc2ccccc2)C(=O)NCCCn2cncc2C)cc1OC,7.41
CHEMBL3677295,O=C1NC(=S)C(c2ccc(Cl)cc2)N1c1ccc2[nH]cnc2c1,6.965
CHEMBL3677298,Cc1ccc(C2C(=S)NC(=O)N2c2ccc3[nH]cnc3c2)c(F)c1F,7.12
CHEMBL5276913,Cc1cncn1CCCNC(=O)N(Cc1ccc(F)cc1)c1ccc2c(C)n(C)nc2c1,7.81
CHEMBL565480,O=[N+]([O-])/C=C(\NCCCn1ccnc1)Nc1cccc2ccccc12,6.28
CHEMBL565907,Cc1cncn1CCCN/C(=C\[N+](=O)[O-])Nc1cccc2ccccc12,7.38
CHEMBL4443747,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(c3ccccc3)CC2)cc1OC,7.79
CHEMBL2418764,c1ccc(CCc2nc(-c3ccc4[nH]cnc4c3)no2)cc1,5.625
CHEMBL4129225,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCc1ncccn1,7.82
CHEMBL3703765,Cc1cn(CCCn2c(=S)[nH]c3sc4c(c3c2=O)CCCC4)cn1,6.0
CHEMBL3703771,Cc1cn(CCCn2c(=S)[nH]c3sc4c(c3c2=O)CCC(C)C4)cn1,6.0
CHEMBL3703778,O=c1c2c3c(sc2[nH]c(=S)n1CCCn1ccnc1)CCCC3,6.47
CHEMBL3703759,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCC(C)C3,6.955
CHEMBL3703753,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCCC3,7.355
CHEMBL5285365,O=C(O)Cc1ccc(-n2cnnc2)cc1,5.29
CHEMBL5174441,Nc1nnc(-c2ccc3[nH]cnc3c2)s1,6.72
CHEMBL3703769,Cc1cn(CCCn2c(=S)[nH]c3sc(-c4ccccc4)cc3c2=O)cn1,5.54
CHEMBL3703757,Cc1cncn1CCCn1c(=S)[nH]c2sc(-c3ccccc3)cc2c1=O,7.295
CHEMBL5081316,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCN(C)C,6.71
CHEMBL5085635,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCCN(C)C,7.47
CHEMBL4469107,COc1ccc(N(Cc2ccc(Cl)nc2)C(=O)NCCCn2cncc2C)cc1OC,7.49
CHEMBL4445955,COc1ccc(N(Cc2ccc(F)nc2)C(=O)NCCCn2cncc2C)cc1OC,7.51
CHEMBL4474239,COc1ccc(N(Cc2ccc(N)nc2)C(=O)NCCCn2cncc2C)cc1OC,7.63
CHEMBL5083871,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCCCN(C)C,7.89
CHEMBL4567619,COc1ccc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)cc1OC,8.06
CHEMBL4438809,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(Cc3cccnc3)CC2)cc1OC,7.63
CHEMBL5395317,Cc1ccc2c(C3=C(c4ccccc4[N+](=O)[O-])C(=O)NC3=O)cn(CCCn3ccnc3)c2c1,4.16
CHEMBL5434053,COc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3cc(Br)ccc23)C(=O)NC1=O,4.66
CHEMBL5399860,Cc1ccc(C2=C(c3cn(CCCn4ccnc4)c4cc(C)ccc34)C(=O)NC2=O)cc1,4.92
CHEMBL5431187,COc1ccc2c(C3=C(c4ccccc4F)C(=O)NC3=O)cn(CCCn3ccnc3)c2c1,4.96
CHEMBL5403557,COc1ccc2c(c1)c(C1=C(c3ccccc3[N+](=O)[O-])C(=O)NC1=O)cn2CCCn1ccnc1,5.0
CHEMBL5440396,COc1ccc2c(c1)c(C1=C(c3ccc(C)cc3)C(=O)NC1=O)cn2CCCn1ccnc1,5.05
CHEMBL5419581,CC(C)(C)c1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(Br)cc34)C(=O)NC2=O)cc1,5.09
CHEMBL5404640,COc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3ccc(C)cc23)C(=O)NC1=O,5.09
CHEMBL5401424,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccccc34)C(=O)NC2=O)cc1,5.13
CHEMBL5411871,COc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3ccccc23)C(=O)NC1=O,5.13
CHEMBL5423339,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4cc(C)ccc34)C(=O)NC2=O)cc1,5.15
CHEMBL5402699,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,5.16
CHEMBL5396759,COc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)C(=O)NC1=O,5.18
CHEMBL5432523,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(C)cc34)C(=O)NC2=O)cc1,5.21
CHEMBL5397959,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(OC)cc34)C(=O)NC2=O)cc1,5.23
CHEMBL5406211,Cc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(C)cc34)C(=O)NC2=O)cc1,5.26
CHEMBL5432557,Cc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)C(=O)NC1=O,5.29
CHEMBL5417729,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3cc(Br)ccc23)=C1c1ccccc1F,5.32
CHEMBL5426638,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1ccccc1F,5.33
CHEMBL5424881,Cc1ccc2c(c1)c(C1=C(c3ccc(F)cc3)C(=O)NC1=O)cn2CCCn1ccnc1,5.36
CHEMBL5439681,Cc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccccc34)C(=O)NC2=O)cc1,5.36
CHEMBL5422902,COc1ccc2c(c1)c(C1=C(c3ccccc3C)C(=O)NC1=O)cn2CCCn1ccnc1,5.36
CHEMBL5421548,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1ccccc1[N+](=O)[O-],5.37
CHEMBL5409837,Cc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3ccccc23)C(=O)NC1=O,5.38
CHEMBL5410629,Cc1ccccc1C1=C(c2cn(CCCn3ccnc3)c3cc(Br)ccc23)C(=O)NC1=O,5.42
CHEMBL5436993,Cc1ccc2c(c1)c(C1=C(c3ccccc3C)C(=O)NC1=O)cn2CCCn1ccnc1,5.42
CHEMBL5432131,Cc1ccc2c(c1)c(C1=C(c3ccccc3[N+](=O)[O-])C(=O)NC1=O)cn2CCCn1ccnc1,5.44
CHEMBL5413978,COc1ccc2c(c1)c(C1=C(c3ccccc3F)C(=O)NC1=O)cn2CCCn1ccnc1,5.44
CHEMBL5412373,Cc1ccc(C2=C(c3cn(CCCn4ccnc4)c4cc(Br)ccc34)C(=O)NC2=O)cc1,5.46
CHEMBL5395945,Cc1ccc2c(c1)c(C1=C(c3ccccc3F)C(=O)NC1=O)cn2CCCn1ccnc1,5.47
CHEMBL5440008,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(Br)cc34)C(=O)NC2=O)cc1OC,5.5
CHEMBL5405586,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3cc(Br)ccc23)=C1c1ccc(F)cc1,5.55
CHEMBL4442650,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1ccccc1,5.55
CHEMBL5415003,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4cc(Br)ccc34)C(=O)NC2=O)cc1,5.59
CHEMBL5436334,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1ccc(F)cc1,5.59
CHEMBL5402529,COc1ccc2c(c1)c(C1=C(c3ccccc3OC)C(=O)NC1=O)cn2CCCn1ccnc1,5.61
CHEMBL5425419,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1ccccc1F,5.62
CHEMBL5403701,Cc1cc(C)c(C2=C(c3cn(CCCn4ccnc4)c4ccc(Br)cc34)C(=O)NC2=O)c(C)c1,5.63
CHEMBL5398463,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1cc(F)c(F)cc1F,5.63
CHEMBL5425787,COc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(Br)cc34)C(=O)NC2=O)cc1,5.63
CHEMBL5403368,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1ccccc1[N+](=O)[O-],5.65
CHEMBL5418046,Cc1ccc(C2=C(c3cn(CCCn4ccnc4)c4ccc(Br)cc34)C(=O)NC2=O)cc1,5.68
CHEMBL5396027,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1ccccc1,5.75
CHEMBL5418413,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1ccc(F)cc1,5.87
CHEMBL5426515,COc1ccc2c(c1)c(C1=C(c3ccc(F)cc3)C(=O)NC1=O)cn2CCCn1ccnc1,6.44
CHEMBL4090828,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCCCC1,7.9
CHEMBL4085595,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCOCC1,7.85
CHEMBL5088872,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCCCC2)ccc1OCCCCc1ccnc(N)c1,8.44
CHEMBL2418785,c1cc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)ccn1,6.0
CHEMBL3674616,O=C1CC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccc(N2CCOCC2)cc1,7.529999999999999
CHEMBL5074791,COc1cc(C2(C(=O)NCc3ccc4[nH]cnc4c3)CCCC2)ccc1OCCCCc1ccnc(N)c1,6.16
CHEMBL4074894,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1cccc(N)n1,7.71
CHEMBL5277817,Cc1cncn1CCCNC(=O)N(Cc1ccc(F)cc1)c1ccc2nn(C)c(C)c2c1,7.64
CHEMBL201399,S=C(NCCCn1ccnc1)C1(c2ccc(Cl)cc2)CCC1,5.31
CHEMBL294878,O=c1cc(-c2ccc(O)cc2)oc2cc(O)ccc12,4.34
CHEMBL3780601,CCc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,4.43
CHEMBL59589,O=c1cc(-c2ccccc2F)oc2cc(O)cc(O)c12,4.46
CHEMBL3780401,COc1cccc(-c2cc(=O)c3c(O)cc(O)cc3o2)c1OC,4.55
CHEMBL3781737,CN(C)c1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,4.78
CHEMBL3781227,Cc1cccc(-c2cc(=O)c3c(O)cc(O)cc3o2)c1,4.79
CHEMBL3780265,CCOc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,4.85
CHEMBL4577303,COc1ccc(N(C(=O)NCCCn2cncc2C)c2nccs2)cc1OC,7.0
CHEMBL201187,COc1ccc(C/N=C(\S)NCCCn2ccnc2)cc1OC,5.81
CHEMBL4206893,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCC(=O)N1CCNCC1,8.11
CHEMBL5092266,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,8.42
CHEMBL5076836,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCN(C)CC1,8.49
CHEMBL4213886,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCc1ccc(C2CCNCC2)cc1,8.21
CHEMBL4128944,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCN1CCNCC1,7.8
CHEMBL5083460,COc1cc(N(C(=O)NCc2ccc3[nH]cnc3c2)C2CCC2)ccc1OCCCCc1ccnc(N)c1,8.05
CHEMBL4127604,Cc1cncn1CCCNC(=S)Nc1ccc(/C=C/C(=O)N2CCNCC2)cc1,7.71
CHEMBL4127764,Cc1cncn1CCCNC(=S)Nc1ccc(/C=C/C(=O)N2CCN(CCN)CC2)cc1,8.19
CHEMBL5286536,Cc1nn(C)c2cc(N(Cc3cccnc3)C(=O)NCCCn3cncc3C)ccc12,7.18
CHEMBL5268178,Cc1n[nH]c2cc(N(Cc3cccnc3)C(=O)NCCCn3cncc3C)ccc12,7.59
CHEMBL2392812,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)CCO2,6.36
CHEMBL4214577,COc1cc(NC(=S)NCCCn2cncc2C)ccc1Oc1ccc(C2CCNCC2)cc1,8.0
CHEMBL5274513,Cc1cncn1CCCNC(=O)N(Cc1cccnc1)c1ccc2c(C)n(C)nc2c1,7.36
CHEMBL201032,S=C(NCCCn1ccnc1)NC1CC2C=CC1C2,5.44
CHEMBL280998,Oc1ccccc1O,5.3
CHEMBL5085226,COc1cc(N(C(=S)NCCCn2cncc2C)C2CCCC2)ccc1OCCCCc1ccnc(N)c1,9.3
CHEMBL5089539,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCc1ccnc(N)c1,8.42
CHEMBL5175865,COc1ccc(Cn2ncc3cc(-c4nnc(N)s4)ccc32)cc1OC,6.7
CHEMBL4587761,COc1ccc(CC(=O)NCCCn2cncc2C)cc1OC,6.74
CHEMBL4466213,COc1ccc(C(C)C(=O)NCCCn2cncc2C)cc1OC,6.95
CHEMBL4533601,COc1ccc(C(C)(C)C(=O)NCCCn2cncc2C)cc1OC,7.11
CHEMBL5078932,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCCC2)ccc1OCCCCc1ccnc(N)c1,8.16
CHEMBL4206681,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCc1ccc(N2CCNCC2)cc1,7.94
CHEMBL382390,COc1ccc(/N=C(\S)NCCCn2ccnc2)c(OC)c1,6.25
CHEMBL4451831,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCCC2)cc1OC,7.71
CHEMBL5091813,COc1cc(C(C)(C)C(=O)NCc2ccc3[nH]cnc3c2)ccc1OCCCCc1ccnc(N)c1,7.62
CHEMBL2392813,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)OCC2,6.39
CHEMBL5281059,Cc1nn(CCN2CCN(C)CC2)c2cc(NC(=O)NCCCn3cncc3C)ccc12,7.15
CHEMBL4075609,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1cncnc1,7.67
CHEMBL4092890,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1cnc(N)nc1,7.74
CHEMBL2392800,Cc1cncn1CCCn1c(=O)[nH]c2ccccc2c1=O,6.91
CHEMBL203195,COc1ccc(C2(C(=S)NCCCn3ccnc3)CC2)cc1OC,7.05
CHEMBL578798,COc1ccc(C2(C(=S)NCCCn3cnc(C)c3)CC2)cc1OC,7.39
CHEMBL583368,COc1ccc(C2(C(=S)NCCCn3cncc3C)CC2)cc1OC,8.59
CHEMBL4209292,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCN(CCO)CC1,7.63
CHEMBL4098332,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCN(C)CC1,7.93
CHEMBL4081803,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCNCC1,7.94
CHEMBL4212160,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCN1CCN(CCN)CC1,8.42
CHEMBL4217140,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCN(CCN)CC1,8.07
CHEMBL4062645,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCN(C)CC1,8.09
CHEMBL4099813,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCNCC1,8.32
CHEMBL4216611,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCN(CCO)CC1,8.32
CHEMBL4100758,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCN1CCOCC1,8.04
CHEMBL2392787,Cc1cncn1CCCNC(=S)Nc1ccc2scnc2c1,5.91
CHEMBL5409643,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1c[nH]c2ccccc12,5.37
CHEMBL3659476,CCCOc1ccc([C@@H]2CNC(=O)N2c2ccc3nc[nH]c3c2)cc1,6.456
CHEMBL3659475,CCCOc1ccc(C2CNC(=O)N2c2ccc3nc[nH]c3c2)cc1,6.76
CHEMBL3677293,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCCO2,7.38
CHEMBL4445143,COc1ccc(N(CC2CCCC2)C(=S)NCCCn2cncc2C)cc1OC,8.39
CHEMBL5174554,Nc1nnc(-c2ccc3c(c2)ncn3Cc2ccc3c(c2)OCO3)s1,6.7
CHEMBL4081649,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCNc1ncccn1,7.41
CHEMBL4126320,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCN1CCNCC1,7.74
CHEMBL4209874,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCN1CCN(Cc2ccccc2)CC1,7.9
CHEMBL5079568,COc1cc(C2(C(=O)NCCCn3cncc3C)CC2)ccc1OCCCCc1ccnc(N)c1,8.12
CHEMBL4448966,COc1ccc(C(Cc2cccnc2)C(=O)NCCCn2cncc2C)cc1OC,7.09
CHEMBL3703772,Cc1cn(CCCn2c(=S)[nH]c3sc4c(c3c2=O)CCCCC4)cn1,5.65
CHEMBL3703760,Cc1cncn1CCCn1c(=S)[nH]c2sc3c(c2c1=O)CCCCC3,7.24
CHEMBL5088413,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCCCc1ccnc(N)c1,8.47
CHEMBL3677288,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(-c2ccccc2)cc1,7.8500000000000005
CHEMBL2392788,Cc1cncn1CCCNC(=S)Nc1ccc2ncsc2c1,6.31
CHEMBL2392799,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)C(O)CCC2,6.09
CHEMBL2392798,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)CCCC2O,6.29
CHEMBL4065599,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1cccnc1,7.7
