Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL5085670,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCN(C)CC1,9.0
CHEMBL5086776,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,9.34
CHEMBL4570337,CCN1CCC(N(C(=O)NCCCn2cncc2C)c2ccc(OC)c(OC)c2)CC1,7.09
CHEMBL4561441,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(C(C)=O)CC2)cc1OC,7.27
CHEMBL5078500,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCCN(C)C,7.81
CHEMBL5091456,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCN(C)C,7.88
CHEMBL4471709,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCNCC2)cc1OC,8.09
CHEMBL4589039,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)cc1OC,8.21
CHEMBL5089771,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCCCN(C)C,9.15
CHEMBL3963868,Clc1ccc(Nc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,4.24
CHEMBL3922862,Fc1ccc(Nc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1,4.925
CHEMBL3957056,COc1ccc(Nc2nnc(-c3ccc4[nH]cnc4c3)o2)cc1OC,4.995
CHEMBL2418767,c1ccc(CCc2cnc(-c3ccc4[nH]cnc4c3)s2)cc1,5.59
CHEMBL2418768,c1nc2cc(-c3nnc(CCc4ccc5c(c4)OCO5)o3)ccc2[nH]1,5.98
CHEMBL3674615,O=C1C=C(N2CCCCC2)C(c2ccc(N3CCOCC3)cc2)N1c1ccc2nc[nH]c2c1,7.84
CHEMBL3944986,c1ccc(CSc2nnc(-c3ccc4[nH]cnc4c3)o2)nc1,5.375
CHEMBL577493,O=[N+]([O-])/C=C(\NCCCn1ccnc1)NC1CCCCC1,6.3
CHEMBL574357,Cc1cncn1CCCN/C(=C\[N+](=O)[O-])NC1CCCCC1,7.36
CHEMBL2392796,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)CCCC2=O,6.32
CHEMBL5186970,COc1ccc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)cc1,6.8
CHEMBL5204178,Nc1nnc(-c2ccc3c(c2)ncn3Cc2ccc(F)cc2)s1,6.81
CHEMBL5178150,Nc1nnc(-c2ccc3c(c2)ncn3Cc2ccc(C(F)(F)F)cc2)s1,6.93
CHEMBL5202004,Nc1nnc(-c2ccc3c(c2)ncn3Cc2ccc(F)c(F)c2)s1,6.96
CHEMBL5194983,Nc1nnc(-c2ccc3c(c2)ncn3Cc2ccc(Cl)c(F)c2)s1,6.97
CHEMBL5207620,COc1cccc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)c1,7.0
CHEMBL5197396,Cc1ccc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)cc1C,7.01
CHEMBL5195495,N#Cc1cccc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)c1,7.24
CHEMBL5190683,COc1ccc(Cn2cnc3cc(-c4nnc(N)s4)ccc32)cc1OC,7.77
CHEMBL201537,O=C1CNC(=S)N1CCCn1ccnc1,6.16
CHEMBL5271452,Cc1cncn1CCCNC(=O)N(Cc1cccnc1)c1ccc2nn(C)c(C)c2c1,6.68
CHEMBL5413227,Cc1ccc2c(C3=C(c4ccc5ccccc5c4)C(=O)NC3=O)cn(CCCn3ccnc3)c2c1,4.97
CHEMBL5416124,COc1ccc2c(c1)c(C1=C(c3ccc4ccccc4c3)C(=O)NC1=O)cn2CCCn1ccnc1,5.3
CHEMBL5408371,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3cc(Br)ccc23)=C1c1ccc2ccccc2c1,5.4
CHEMBL5425548,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1c1ccc2ccccc2c1,5.46
CHEMBL5396368,Cc1ccc2c(c1)c(C1=C(c3ccc4ccccc4c3)C(=O)NC1=O)cn2CCCn1ccnc1,5.46
CHEMBL5437713,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1ccc2ccccc2c1,5.53
CHEMBL3703782,O=c1c2c3c(sc2[nH]c(=S)n1Cc1ccc2[nH]cnc2c1)CCCC3,4.73
CHEMBL5273104,Cc1nn(C)c2ccc(N(C(=O)NCCCn3cncc3C)C3CCCCC3)cc12,8.36
CHEMBL5279792,Cc1n[nH]c2ccc(N(C(=O)NCCCn3cncc3C)C3CCCCC3)cc12,8.64
CHEMBL4459555,COc1ccc(N(Cc2ccncc2)C(=S)NCCCn2cncc2C)cc1OC,8.25
CHEMBL5268024,Cc1nn(CCCCc2ccnc(N)c2)c2cc(NC(=O)NCCCn3cncc3C)ccc12,7.69
CHEMBL203091,S/C(=N\CCCn1ccnc1)C(c1ccccc1)c1ccccc1,5.35
CHEMBL4586610,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCC2)cc1OC,7.58
CHEMBL4434757,COc1ccc(N(C(=S)NCCCn2cncc2C)C2CCC2)cc1OC,8.07
CHEMBL4076975,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCc1ccncc1,7.63
CHEMBL4074799,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCc1ccnc(N)c1,8.26
CHEMBL4206718,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC(=O)N1CCNCC1,8.15
CHEMBL566321,Cc1cncn1CCCN/C(=N\C#N)Nc1ccc(-c2ccccc2)cc1,7.19
CHEMBL2392783,Cc1cncn1CCCNC(=S)Nc1cccc2ncccc12,6.43
CHEMBL5091080,COc1cc(C2(C(=O)NCc3ccc4[nH]cnc4c3)CCC2)ccc1OCCCCc1ccnc(N)c1,6.33
CHEMBL4579239,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(Cc3ccc(F)cc3)CC2)cc1OC,7.87
CHEMBL4448862,COc1ccc(N(C(=O)NCCCn2cncc2C)C2CCN(Cc3ccccc3)CC2)cc1OC,8.12
CHEMBL5440304,O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccc(Br)cc23)=C1c1cccs1,5.98
CHEMBL5091269,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCCCC2)ccc1OCCN1CCOCC1,8.05
CHEMBL4202728,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCC(=O)NC1CCNCC1,7.78
CHEMBL4126383,Cc1cncn1CCCNC(=S)Nc1ccc(/C=C/C(=O)NC2CCNCC2)cc1,7.58
CHEMBL4126533,Cc1cncn1CCCNC(=S)Nc1ccc(/C=C/C(=O)NC2CCN(CCN)CC2)cc1,7.95
CHEMBL5078420,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCC2)ccc1OCCCCc1ccnc(N)c1,8.3
CHEMBL199504,S=C(NCCCn1ccnc1)Nc1cccc2ccccc12,5.55
CHEMBL5181626,S=c1nc(-c2ccc3[nH]cnc3c2)[nH][nH]1,5.66
CHEMBL5288463,Cc1nn(C)c2cc(N(C(=O)NCCCn3cncc3C)C3CCCCC3)ccc12,8.28
CHEMBL5282127,Cc1n[nH]c2cc(N(C(=O)NCCCn3cncc3C)C3CCCCC3)ccc12,8.49
CHEMBL201735,S=C(NCCCn1ccnc1)Nc1ccc2c(c1)OCO2,5.25
CHEMBL2392810,Cc1cncn1CCCNC(=S)Nc1ccc2c(c1)OCO2,6.73
CHEMBL4126747,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCC1CCN(C)CC1,7.69
CHEMBL4130158,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCC1CCNCC1,8.14
CHEMBL4130012,COc1ccc(NC(=S)NCCCn2cncc2C)cc1OCCCCC1CCNCC1,8.1
CHEMBL5082748,COc1cc(N(C(=O)NCc2ccc3[nH]cnc3c2)C2CCCC2)ccc1OCCCCc1ccnc(N)c1,7.9
CHEMBL5079847,COc1cc(N(Cc2cccnc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCOCC1,8.36
CHEMBL2418766,c1ccc(CCc2ncc(-c3ccc4[nH]cnc4c3)s2)cc1,4.61
